Date,Actual_Variance,GARCH_Forecast_Variance,SVR_Forecast_Variance
2024-11-29,0.3115638369087064,1.3097031604612637,0.6853212807954101
2024-12-02,0.6154473250872383,0.7585932594204193,0.0964562574680047
2024-12-03,0.2889279816198173,0.8213265843693581,0.1699161642286944
2024-12-04,0.354537349301844,0.654106850331447,0.403486204434599
2024-12-05,2.4341310315649416,0.6076501425244596,0.1194725489064292
2024-12-06,0.1229565245573451,0.5688149510722152,0.1599371447655102
2024-12-09,0.1271347513699726,0.517205272931495,0.0510216433580945
2024-12-10,0.2193974983666339,0.5038674780234758,0.2062634805820807
2024-12-11,0.0930099399866778,0.4555361766212855,0.1427448699316706
2024-12-12,0.1593710125619706,0.4330464323566116,0.2553976536296709
2024-12-13,2.6546220582822047,0.4723412571395846,0.180652225326085
2024-12-16,0.2183767462210439,0.4420246215896256,0.0772973463952182
2024-12-17,0.4593410512686136,0.4903899548778129,0.0563701465927855
2024-12-18,0.4432558300659122,1.0918040306215293,0.1630213255495726
2024-12-19,0.1205490717344676,0.7406224836406878,0.2575535627169606
2024-12-20,1.5129869136799634,1.114630370824932,0.6555057523092768
2024-12-23,0.4363554595204497,1.5736986629793548,0.1331486877704455
2024-12-24,0.2828155971160714,0.9881757369909032,0.2151414907842826
2024-12-26,0.3531687994287532,0.9715878974641567,0.6952630760748701
2024-12-27,0.166747474136594,0.7531614077760037,0.2312702377050514
2024-12-30,0.7262881761700737,0.6884729787646644,0.1709648959453828
2024-12-31,0.4242682264281671,0.7831231425045997,0.1428228534878417
2025-01-01,0.5258860721527668,0.5945322737425852,0.2439638258217005
2025-01-02,0.8567532681051576,0.5796389666282203,0.1969762071491211
2025-01-03,0.1745675158312694,0.6330479888834151,0.0935792262755906
2025-01-06,1.294837232575413,0.7383783901170812,0.2106758609542707
2025-01-07,0.2148335230802228,1.505574789322794,0.3912139136968696
2025-01-08,0.5629111228858229,0.8066679542562315,0.3253971612548887
2025-01-09,0.1597550357098423,0.9229971959487964,1.1988830172150666
2025-01-10,0.4760875987567277,0.8502778931007186,0.6760935603829105
2025-01-13,0.7153185162817269,0.7725104690709099,0.681292996485269
2025-01-14,0.1581941919924561,1.4207986197755254,0.2448816097087824
2025-01-15,0.1910100123375535,0.7922450119700806,0.0811046478813844
2025-01-16,0.1010172334741304,0.8985969938181183,0.1704228619219594
2025-01-17,0.3026131089965442,0.6703985626668474,0.6005712693619877
2025-01-20,0.4273404009067764,0.7382454597785212,0.2370732683905315
2025-01-21,0.7474486804953778,0.589559567573484,0.2401872517753294
2025-01-22,0.309960583582051,1.2060589195383795,0.1038646405781251
2025-01-23,0.2592601789813945,0.6790960697874076,0.183845639873449
2025-01-24,0.7605234305041705,0.7919831371069553,0.1057672604092601
2025-01-27,0.3730160105568113,0.6821713503969297,0.7033153456874927
2025-01-28,0.7426888150123911,1.050797191803588,0.5478082131139138
2025-01-29,0.2669743742829457,0.6770723058550047,0.8697015780843668
2025-01-30,0.2638823905952941,0.7488821990349713,0.4922583831178597
2025-01-31,0.3460946195285334,0.5955781464770745,0.6745686990538228
2025-02-01,0.8803370165198627,0.6185557464096981,
2025-02-03,0.2222310299943911,0.5322450894270453,0.0568755738215529
2025-02-04,0.6719113815043901,0.602585428811877,0.0339370510881958
2025-02-05,0.066554110992878,0.5792986882381214,0.0791776332121488
2025-02-06,0.2483422298152472,0.5331426104135468,0.0134618902754473
2025-02-07,0.5128477588182458,0.5506992735784374,0.1755554366995452
2025-02-10,0.3945478174265223,0.4960004671749243,0.1365930427999873
2025-02-11,0.8174217334465028,0.6685823780807655,0.6473741689284532
2025-02-12,1.1364507398114552,1.076066573478342,0.1678019354957333
2025-02-13,0.5497004186847968,0.6776012150298706,0.2580172741137608
2025-02-14,1.0181249238225647,0.7373521816861888,0.2824580205378346
2025-02-17,0.4274901087924785,0.657665274278007,0.4962524971174459
2025-02-18,0.3454556521581995,0.5935600953979071,0.5444708865118215
