,SVR_Forecast_Variance_sqrttrained
2024-11-29,0.1836990500749723
2024-12-02,0.1362511334715872
2024-12-03,0.13758317794433303
2024-12-04,0.1250137159130427
2024-12-05,0.09669705779339648
2024-12-06,0.13874334766498334
2024-12-09,0.1285766914892419
2024-12-10,0.18322624464950032
2024-12-11,0.27095164781853603
2024-12-12,0.12744783239290228
2024-12-13,0.17838994684132845
2024-12-16,0.20523823334491623
2024-12-17,0.16402386089327525
2024-12-18,0.2280686335547464
2024-12-19,0.8889159809036398
2024-12-20,0.8633967806114404
2024-12-23,0.6407957395236621
2024-12-24,1.006812338329956
2024-12-25,0.8717075595068268
2024-12-26,0.13688815465206308
2024-12-27,0.22052662498228706
2024-12-30,0.3180494444386945
2024-12-31,0.5197573080806608
2025-01-01,0.40412311614052154
2025-01-02,0.44610687271874394
2025-01-03,0.44484728668868184
2025-01-06,0.18700316465134778
2025-01-07,0.14891423407111742
2025-01-08,0.22870674379096367
2025-01-09,0.4151927500553423
2025-01-10,0.40389538888670884
2025-01-13,0.328531302595946
2025-01-14,0.6209841267604569
2025-01-15,0.3325517148488618
2025-01-16,0.343416103067467
2025-01-17,0.3689658621086013
2025-01-20,0.15883876104544967
2025-01-21,0.3187260407443604
2025-01-22,0.3484589703933575
2025-01-23,0.11551462987085151
2025-01-24,0.13894141420648976
2025-01-27,0.15988369250485854
2025-01-28,0.3238928301411789
2025-01-29,0.4270057033111219
2025-01-30,0.2802695542082664
2025-01-31,0.37226977878169837
2025-02-03,0.34407016676669194
2025-02-04,0.3696596282388045
2025-02-05,0.2408471906984984
2025-02-06,0.1927972716758602
2025-02-07,0.181701641967667
2025-02-10,0.2664706921185891
2025-02-11,0.29452489847344204
2025-02-12,0.18796851755177632
2025-02-13,0.2523123946830351
2025-02-14,0.14981795018701224
2025-02-17,0.1507177871724456
2025-02-18,0.15787461651880044
2025-02-19,0.18230343008018662
2025-02-20,0.19528570254991487
2025-02-21,0.1582074568497168
2025-02-24,0.31344671638071764
2025-02-25,0.6470465983920702
2025-02-26,0.4568227581688029
2025-02-27,0.7311040404778374
2025-02-28,0.6262990581556824
2025-03-03,0.4574096071298759
2025-03-04,0.5084928617910934
2025-03-05,1.146795559239925
2025-03-06,0.567379959854398
2025-03-07,0.7429604542578118
2025-03-10,1.2384278098374408
2025-03-11,0.9652974727479344
2025-03-12,1.1565100371966852
2025-03-13,0.6145905686241337
2025-03-14,1.1167030666676816
2025-03-17,0.9084974902396022
2025-03-18,0.42887944934749206
2025-03-19,0.5026871822161759
2025-03-20,0.5695969629834086
2025-03-21,0.5590751051009295
2025-03-24,0.3846938322326572
2025-03-25,0.17507584507576104
2025-03-26,0.20648512026693788
2025-03-27,0.2999174357583614
2025-03-28,0.5779014631129883
2025-03-31,0.5105033067479732
2025-04-01,1.0534696987541536
2025-04-02,0.6715123058964366
2025-04-03,0.7343575429701166
2025-04-04,0.8412919908082519
2025-04-07,0.8005700696076412
2025-04-08,0.8189543922820747
2025-04-09,0.8466091839751085
2025-04-10,0.8714499053852333
2025-04-11,0.886761132681732
2025-04-14,0.896345183824848
2025-04-15,0.8802332595388552
2025-04-16,0.9106826663295032
2025-04-17,1.376086810226212
2025-04-18,0.8483044621738453
2025-04-21,1.0520665947975842
2025-04-22,1.1483831183553344
2025-04-23,1.0199566011007797
2025-04-24,0.990424804592379
2025-04-25,0.7861433623962829
2025-04-28,0.958496526254746
2025-04-29,0.6898574372846579
2025-04-30,0.6620142468861406
2025-05-01,0.567370997645011
2025-05-02,0.4685896243570891
2025-05-05,0.29476918541228686
2025-05-06,0.37704315453255266
2025-05-07,0.5941995745021
2025-05-08,0.549250795342923
2025-05-09,0.6462194081558503
2025-05-12,0.4375116434363113
2025-05-13,0.44761039304455086
2025-05-14,0.4279951041336902
2025-05-15,0.3801028424703645
2025-05-16,0.6074164770244861
2025-05-19,0.697365780635329
2025-05-20,0.1847840408525781
2025-05-21,0.22029897998544742
2025-05-22,0.3935810446979254
2025-05-23,0.5619167435554384
2025-05-26,0.6144905657302745
2025-05-27,0.885844477802446
2025-05-28,0.3694017234608627
2025-05-29,0.30736346218106114
2025-05-30,0.33742804116128927
2025-06-02,0.39046694941619364
2025-06-03,0.4876976588300092
2025-06-04,0.172288333728874
2025-06-05,0.17187453756806853
2025-06-06,0.24133591206361357
2025-06-09,0.17819820444273313
2025-06-10,0.21622116633716656
2025-06-11,0.1826659933428551
2025-06-12,0.23132930438138646
2025-06-13,0.27025266986424556
2025-06-16,0.34450224541341185
2025-06-17,0.3920891752345705
2025-06-18,0.4867577549776917
2025-06-19,0.5245527712549382
2025-06-20,0.4358605494450271
2025-06-23,0.4370031493094531
2025-06-24,0.2994098767897106
2025-06-25,0.1552322111546095
2025-06-26,0.1421729800107034
2025-06-27,0.13476661935562012
2025-06-30,0.20624582221153015
2025-07-01,0.18020220597212055
2025-07-02,0.17914194803597483
2025-07-03,0.2003696351384504
2025-07-04,0.15275001423519804
2025-07-07,0.152435637776856
2025-07-08,0.24970558104900487
2025-07-09,0.2762066440334084
2025-07-10,0.25614372070194885
2025-07-11,0.20286775895754192
2025-07-14,0.22241919713460803
2025-07-15,0.20540381630185514
2025-07-16,0.23096570021690996
2025-07-17,0.22879831731023278
2025-07-18,0.1724250344399739
2025-07-21,0.16286204221540754
2025-07-22,0.17120998382628755
2025-07-23,0.17741230913455439
2025-07-24,0.14168283808178458
2025-07-25,0.1324010939451208
