Date,Target_Variance
2022-01-12,2.058085547942462
2022-01-13,0.0067181672867249395
2022-01-14,0.0
2022-01-17,3.444403931743813
2022-01-18,0.9480509783769892
2022-01-19,1.2318208073797492
2022-01-20,3.6465703743849094
2022-01-21,0.07661296750856418
2022-01-24,1.4997898026753715
2022-01-25,0.022432758090396344
2022-01-26,0.2914526202235959
2022-01-27,5.786895923147902
2022-01-28,3.5005759729428068
2022-01-31,0.46779585758286985
2022-02-01,0.8795439496911023
2022-02-02,6.0976754559236275
2022-02-03,0.26457427892709956
2022-02-04,0.13753572498250397
2022-02-07,0.6999185453659413
2022-02-08,2.0773001680183403
2022-02-09,3.342251065024011
2022-02-10,3.667869478699468
2022-02-11,0.14807032855406452
2022-02-14,2.4472590178978053
2022-02-15,0.007758433796397731
2022-02-16,4.579815773150364
2022-02-17,0.5172431257451242
2022-02-18,0.0
2022-02-21,1.0393263058997608
2022-02-22,3.453552343807695
2022-02-23,2.204068411749659
2022-02-24,4.895634405610807
2022-02-25,0.05980917604520504
2022-02-28,2.4318742554765853
2022-03-01,3.4117956917297434
2022-03-02,0.2775731083254103
2022-03-03,0.6345213023862548
2022-03-04,8.977566086113619
2022-03-07,0.5270823852907228
2022-03-08,6.438194816638843
2022-03-09,0.1849903041645999
2022-03-10,1.7020539400386003
2022-03-11,0.5548276067881913
2022-03-14,4.487038020302819
2022-03-15,4.90043300067085
2022-03-16,1.5060701724824979
2022-03-17,1.3443972124612127
2022-03-18,0.0018901178333915296
2022-03-21,1.2635332646496258
2022-03-22,1.524886691128319
2022-03-23,2.0283491382977785
2022-03-24,0.2553665654194809
2022-03-25,0.5068800672699884
2022-03-28,1.4840219848825984
2022-03-29,0.39861406049429743
2022-03-30,2.488927531909453
2022-03-31,0.11590082082847036
2022-04-01,0.6493752903420382
2022-04-04,1.595461795528504
2022-04-05,0.9534416963115149
2022-04-06,0.18014638939314573
2022-04-07,0.07046618052687033
2022-04-08,2.8972583104415723
2022-04-11,0.11718986521803816
2022-04-12,1.2348995141201535
2022-04-13,1.4929126288216794
2022-04-14,0.0
2022-04-15,0.00041979613947435525
2022-04-18,2.5376632571748208
2022-04-19,0.003827481221392781
2022-04-20,2.209044751391248
2022-04-21,7.91413721302056
2022-04-22,0.32282455152852424
2022-04-25,8.151030098229965
2022-04-26,0.043925831354456324
2022-04-27,5.975900650427636
2022-04-28,13.659794919906322
2022-04-29,0.3202653664715488
2022-05-02,0.23285113193517723
2022-05-03,8.658436636977795
2022-05-04,13.177391916127323
2022-05-05,0.3238047477855516
2022-05-06,10.602525547279885
2022-05-09,0.06026444457588137
2022-05-10,2.755677056310327
2022-05-11,0.016817031927543993
2022-05-12,5.564535627409455
2022-05-13,0.15635765001628657
2022-05-16,3.987577492508995
2022-05-17,17.002270286669624
2022-05-18,0.3423261864282286
2022-05-19,0.00021354296046617653
2022-05-20,3.380080563014534
2022-05-23,0.6648691533761576
2022-05-24,0.884800909764283
2022-05-25,3.8762388074753904
2022-05-26,5.973688452491031
2022-05-27,0.0
2022-05-30,0.396161378361513
2022-05-31,0.564136945372448
2022-06-01,3.335454025790102
2022-06-02,2.716696946865473
2022-06-03,0.09812489885196429
2022-06-06,0.8983876862517987
2022-06-07,1.1777942685169103
2022-06-08,5.801574428553545
2022-06-09,8.727542728893816
2022-06-10,15.63406221777008
2022-06-13,0.14294585047728284
2022-06-14,2.098748737332173
2022-06-15,10.924483950962008
2022-06-16,0.048331707112034154
2022-06-17,0.0
2022-06-20,5.847920952235844
2022-06-21,0.016962981047934207
2022-06-22,0.9000454434621524
2022-06-23,9.063435224286234
2022-06-24,0.08865505596976145
2022-06-27,4.140684989449996
2022-06-28,0.00506942319926683
2022-06-29,0.7740245048898765
2022-06-30,1.102187394456924
2022-07-01,0.0
2022-07-04,0.025054936018049184
2022-07-05,0.1272203160167422
2022-07-06,2.2063309233571804
2022-07-07,0.006899235975159713
2022-07-08,1.3443052088670282
2022-07-11,0.8624592648974326
2022-07-12,0.19952874993427402
2022-07-13,0.09018842728737804
2022-07-14,3.617311728847755
2022-07-15,0.7053887534338755
2022-07-18,7.427542239571307
2022-07-19,0.3455669101505424
2022-07-20,0.9629627785267024
2022-07-21,0.8791476341612351
2022-07-22,0.01727392305640504
2022-07-25,1.3480005527227843
2022-07-26,6.666749189307627
2022-07-27,1.4545131348318483
2022-07-28,1.9902933750825833
2022-07-29,0.07992361790814732
2022-08-01,0.4468505872262689
2022-08-02,2.407914490941879
2022-08-03,0.006047277793957008
2022-08-04,0.02647353592321928
2022-08-05,0.015334292949387832
2022-08-08,0.18128385978570133
2022-08-09,4.438251655959342
2022-08-10,0.004980448429214101
2022-08-11,2.94947888692061
2022-08-12,0.15694940561420304
2022-08-15,0.035115867576052104
2022-08-16,0.5276736481037178
2022-08-17,0.05139241875457342
2022-08-18,1.6858240482528133
2022-08-19,4.6795927894072875
2022-08-22,0.05019259683501074
2022-08-23,0.08479258860303371
2022-08-24,1.9581081708379557
2022-08-25,11.74335322796753
2022-08-26,0.4473837589532504
2022-08-29,1.2297515813560522
2022-08-30,0.615869949837217
2022-08-31,0.0895058162827142
2022-09-01,1.1652236520212491
2022-09-02,0.0
2022-09-05,0.16838422469431638
2022-09-06,3.303251240381946
2022-09-07,0.4341448455155242
2022-09-08,2.2970479011072245
2022-09-09,1.1085250207145956
2022-09-12,19.53566012727058
2022-09-13,0.11433115834719067
2022-09-14,1.2955611970985268
2022-09-15,0.5195598156843583
2022-09-16,0.4669942459263816
2022-09-19,1.2850749732133477
2022-09-20,2.980689717276801
2022-09-21,0.7162734246060205
2022-09-22,3.0216273595431136
2022-09-23,1.0804273831740336
2022-09-26,0.04505477265540833
2022-09-27,3.795149786068752
2022-09-28,4.5594184675733205
2022-09-29,2.3047343476958675
2022-09-30,6.530364327842807
2022-10-03,9.075361954787995
2022-10-04,0.04080349738265902
2022-10-05,1.0604721628903127
2022-10-06,8.067415732057729
2022-10-07,0.5656052438325354
2022-10-10,0.42778381101948576
2022-10-11,0.10864932133751011
2022-10-12,6.571152502508935
2022-10-13,5.734645919530397
2022-10-14,6.830656438989186
2022-10-17,1.2911250132799554
2022-10-18,0.448157309561524
2022-10-19,0.6372328756926362
2022-10-20,5.497974424732106
2022-10-21,1.3952193140913616
2022-10-24,2.6036307400516288
2022-10-25,0.5498430713670962
2022-10-26,0.3722445905320153
2022-10-27,5.918533731240913
2022-10-28,0.5598521778890538
2022-10-31,0.16889335894429797
2022-11-01,6.410944868905613
2022-11-02,1.1326115734870172
2022-11-03,1.8297494819884894
2022-11-04,0.9154780430003893
2022-11-07,0.3116188158026812
2022-11-08,4.408649682547794
2022-11-09,29.10873946560151
2022-11-10,0.8460894925608474
2022-11-11,0.8056750866590112
2022-11-14,0.7526215593618707
2022-11-15,0.6866248781012024
2022-11-16,0.09573483549446274
2022-11-17,0.22536815971024216
2022-11-18,0.15141825008147128
2022-11-21,1.8194249910248685
2022-11-22,0.3477774676702587
2022-11-23,0.0
2022-11-24,0.0008013669950652875
2022-11-25,2.422597862911919
2022-11-28,0.025380749912493214
2022-11-29,9.289477108982
2022-11-30,0.007534410642928263
2022-12-01,0.014289205867648178
2022-12-02,3.260281507359592
2022-12-05,2.1036222823904063
2022-12-06,0.03474895852113193
2022-12-07,0.5615455672968303
2022-12-08,0.5441599005367812
2022-12-09,2.010243978833077
2022-12-12,0.5275441205860859
2022-12-13,0.36858457060221517
2022-12-14,6.369302908451254
2022-12-15,1.2544537484824394
2022-12-16,0.8187225662641361
2022-12-19,0.010749556871438677
2022-12-20,2.17814758816882
2022-12-21,2.119103977113443
2022-12-22,0.34233642488230026
2022-12-23,0.0
2022-12-26,0.16466098209614274
2022-12-27,1.4625202735447451
2022-12-28,2.9965806038743317
2022-12-29,0.06471812088004619
2022-12-30,0.0
2023-01-02,0.16068653337625038
2023-01-03,0.5641053280574831
2023-01-04,1.3721473014604768
2023-01-05,5.100296299124177
2023-01-06,0.005897123780048167
2023-01-09,0.48358087775030645
2023-01-10,1.6301087415028692
2023-01-11,0.1162867910733937
2023-01-12,0.15911260541702132
2023-01-13,0.0
2023-01-16,0.0413128158007543
2023-01-17,2.460181890929308
2023-01-18,0.5879319239383812
2023-01-19,3.512503275429309
2023-01-20,1.3950718450211637
2023-01-23,0.00506597122111421
2023-01-24,0.0003302999952563878
2023-01-25,1.19852311090733
2023-01-26,0.062087384349210385
2023-01-27,1.703956718691561
2023-01-30,2.1130414608679797
2023-01-31,1.0811957475320493
2023-02-01,2.129376890980279
2023-02-02,1.0833880068894344
2023-02-03,0.3793812451755288
2023-02-06,1.6359341220917187
2023-02-07,1.2415693333693605
2023-02-08,0.7865933538304868
2023-02-09,0.04808616161450514
2023-02-10,1.295856648328409
2023-02-13,0.000786543650612754
2023-02-14,0.07669230372103217
2023-02-15,1.9278459431613146
2023-02-16,0.0767978317744088
2023-02-17,0.0
2023-02-20,4.0985127813250655
2023-02-21,0.024799808216025836
2023-02-22,0.28252183015647647
2023-02-23,1.1222149265043775
2023-02-24,0.09414419108273105
2023-02-27,0.09245368956353227
2023-02-28,0.22434093150968965
2023-03-01,0.5705677825598222
2023-03-02,2.56600325179087
2023-03-03,0.004718738949283607
2023-03-06,2.385662652531127
2023-03-07,0.019988138578652687
2023-03-08,3.471461305005814
2023-03-09,2.1269216451214907
2023-03-10,0.02282824372347454
2023-03-13,2.6707365323535432
2023-03-14,0.49075123782689795
2023-03-15,3.0309334517083784
2023-03-16,1.2278016781677823
2023-03-17,0.7883432601203861
2023-03-20,1.663751078079957
2023-03-21,2.755682549045613
2023-03-22,0.08880899867362888
2023-03-23,0.31628960773591885
2023-03-24,0.027079979242715206
2023-03-27,0.024808873653607698
2023-03-28,1.9985111531038724
2023-03-29,0.3247859187570688
2023-03-30,2.0544428530730725
2023-03-31,0.1363103062639553
2023-04-03,0.33800732582426996
2023-04-04,0.06227428701027324
2023-04-05,0.12764707858474345
