decile,rmse,n
1,0.4840614109392969,19
2,0.4303033487782736,19
3,0.4314057847849019,19
4,0.17519597031218895,18
5,0.2558865512809365,19
6,0.23113397718832734,19
7,0.3104388039477347,18
8,0.6207642751560204,19
9,1.7068128134798637,19
10,21.95125530375446,19
