Date,Sq_Return_Lag_1,Sq_Return_Lag_2,Sq_Return_Lag_3,Sq_Return_Lag_4,Sq_Return_Lag_5,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_4,Return_Lag_5,India_VIX_Lag_1,Target_Variance
2022-01-12,0.08462721925996465,1.1328357378363967,0.14115926950540464,1.0111927560113738,0.4511776334610753,0.0029090757855367855,0.010643475643963285,0.003757116840150232,-0.010055808053117232,0.006716975758934041,17.760000228881836,0.062126301929350695
2022-01-13,0.745756656372432,0.08462721925996465,1.1328357378363967,0.14115926950540464,1.0111927560113738,0.008635720331115593,0.0029090757855367855,0.010643475643963285,0.003757116840150232,-0.010055808053117232,17.18000030517578,0.00012618000259179816
2022-01-14,0.062126301929350695,0.745756656372432,0.08462721925996465,1.1328357378363967,0.14115926950540464,0.0024925148330421365,0.008635720331115593,0.0029090757855367855,0.010643475643963285,0.003757116840150232,16.700000762939453,0.08199429718023643
2022-01-17,0.00012618000259179816,0.062126301929350695,0.745756656372432,0.08462721925996465,1.1328357378363967,-0.00011232987251474924,0.0024925148330421365,0.008635720331115593,0.0029090757855367855,0.010643475643963285,16.559999465942383,1.1472225301614698
2022-01-18,0.08199429718023643,0.00012618000259179816,0.062126301929350695,0.745756656372432,0.08462721925996465,0.002863464635371571,-0.00011232987251474924,0.0024925148330421365,0.008635720331115593,0.0029090757855367855,16.770000457763672,0.9387726036912496
2022-01-19,1.1472225301614698,0.08199429718023643,0.00012618000259179816,0.062126301929350695,0.745756656372432,-0.010710847446217642,0.002863464635371571,-0.00011232987251474924,0.0024925148330421365,0.008635720331115593,17.780000686645508,1.0330453545287153
2022-01-20,0.9387726036912496,1.1472225301614698,0.08199429718023643,0.00012618000259179816,0.062126301929350695,-0.009689027834056674,-0.010710847446217642,0.002863464635371571,-0.00011232987251474924,0.0024925148330421365,17.81999969482422,0.6251942803720771
2022-01-21,1.0330453545287153,0.9387726036912496,1.1472225301614698,0.08199429718023643,0.00012618000259179816,-0.01016388387639644,-0.009689027834056674,-0.010710847446217642,0.002863464635371571,-0.00011232987251474924,17.790000915527344,7.250746525014415
2022-01-24,0.6251942803720771,1.0330453545287153,0.9387726036912496,1.1472225301614698,0.08199429718023643,-0.007906922791908855,-0.01016388387639644,-0.009689027834056674,-0.010710847446217642,0.002863464635371571,18.889999389648438,0.5603129609540041
2022-01-25,7.250746525014415,0.6251942803720771,1.0330453545287153,0.9387726036912496,1.1472225301614698,-0.026927210262138956,-0.007906922791908855,-0.01016388387639644,-0.009689027834056674,-0.010710847446217642,22.829999923706055,0.0
