decile,rmse,n
1,0.30764750141593716,19
2,0.28317928392569425,19
3,0.2676694859503171,19
4,0.2618268036676079,18
5,0.354025992520832,19
6,0.16618833681694362,19
7,0.23362236502904626,18
8,0.44496313718037445,19
9,1.0651292862996475,19
10,4.594570956873656,19
