mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01736278533935547,0.012622437336346593,0.0027703762054443358,0.0003755349922447545,rbf,1,0.01,10.0,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 10}",-1.305231531072207,-0.8997738587773676,-0.7174534186054082,-3.3981804713532284,-1.2036053714722814,-1.5048489302560983,0.9696810451041679,15
0.0803135871887207,0.06946878043687417,0.0020548820495605467,0.0006688168431810721,rbf,scale,0.05,100.0,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.05, 'C': 100}",-1.7669213469367406,-1.0044487549676504,-0.6792867383413056,-3.1237059753262977,-1.3174962142947517,-1.5783718059733494,0.8519866578785771,18
0.02381558418273926,0.015667013901470652,0.0031752586364746094,0.0016280543003215624,rbf,0.1,0.01,10.0,"{'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.01, 'C': 10}",-1.3613536969756845,-0.7686827039424364,-0.6168732118750843,-3.351580887343893,-1.2195429494423802,-1.4636066899158957,0.9832951015081255,14
0.01733741760253906,0.012473626016763389,0.0034593582153320313,0.0006643668375647361,rbf,1,0.05,100.0,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.05, 'C': 100}",-1.3554482575440319,-0.9238669175770028,-0.7276880679662793,-3.5780811236312347,-1.2450270053048762,-1.566022274404685,1.030623882519647,16
0.01839127540588379,0.013720850443034574,0.0029131889343261717,0.0020698319093589356,rbf,scale,0.01,10.0,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.01, 'C': 10}",-1.2113225328898591,-0.7142963188920994,-0.6136163874247386,-3.338419140426407,-1.2195627074323612,-1.4194434174130932,0.991193629834659,11
0.08108019828796387,0.06657630898243648,0.0023915767669677734,0.0009496902813735242,rbf,auto,0.01,100.0,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.01, 'C': 100}",-2.6795583384547994,-1.1559663964505407,-0.7005976585529465,-3.0920350900137867,-1.2900354778164123,-1.7836385922576974,0.930071789812147,20
0.008989524841308594,0.006275958262235828,0.003419303894042969,0.0018837928228822947,rbf,scale,0.01,1.0,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.01, 'C': 1}",-1.0646731340378501,-0.5656973953015761,-0.578925467502855,-3.532993939185314,-1.152861497610859,-1.3790302867276907,1.1037400301473888,1
0.009772109985351562,0.006600013429094351,0.0023426055908203126,0.0005720575183371962,rbf,1,0.05,1.0,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.05, 'C': 1}",-1.0663509785557672,-0.5959131169151582,-0.5968050949513426,-3.5368310243924146,-1.112181387167118,-1.38161632039636,1.1000178201171147,4
0.00833301544189453,0.00475232524177641,0.0039843559265136715,0.0017080986812402963,rbf,scale,0.05,0.1,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.05, 'C': 0.1}",-1.0453595308390098,-0.5574165165631925,-0.5695782473006824,-3.6147581784162996,-1.124300737156564,-1.3822826420551497,1.140606104210828,6
0.018697452545166016,0.014762536006413904,0.003257274627685547,0.0026421828209082588,rbf,auto,0.01,10.0,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.01, 'C': 10}",-1.3286175741088964,-0.760011488829478,-0.6142543343556609,-3.3739013977424452,-1.216854491982597,-1.4587278574038156,0.9944507222759248,13
