,SVR_Forecast_Variance
2024-11-29,0.5999858613550736
2024-12-02,0.11479272814513863
2024-12-03,0.19871243438180441
2024-12-04,0.43902360497166243
2024-12-05,0.10567074963580914
2024-12-06,0.12472092863620765
2024-12-09,0.0450347719148908
2024-12-10,0.19658853466533288
2024-12-11,0.14300930386099742
2024-12-12,0.27412225452257444
2024-12-13,0.18351532283332384
2024-12-16,0.0778220943317699
2024-12-17,0.054698081498146145
2024-12-18,0.18227136836901203
2024-12-19,0.2825624272607051
2024-12-20,0.5892117731330864
2024-12-23,0.10673864919138776
2024-12-24,0.3258870476503494
2024-12-25,0.19971098168810192
2024-12-26,0.6377895846909197
2024-12-27,0.2540879572432516
2024-12-30,0.17750361337600123
2024-12-31,0.14415323056528695
2025-01-01,0.2324369208599839
2025-01-02,0.21268865650093072
2025-01-03,0.2405156711409034
2025-01-06,0.2798366443238073
2025-01-07,0.4150844230580942
2025-01-08,0.3589260369083971
2025-01-09,0.851841900702075
2025-01-10,0.6111846957670694
2025-01-13,0.694229239811411
2025-01-14,0.2566073754004338
2025-01-15,0.11236225840105252
2025-01-16,0.16304930846273757
2025-01-17,0.5834001330607506
2025-01-20,0.3078368729370856
2025-01-21,0.23608404186570414
2025-01-22,0.11103559458712065
2025-01-23,0.23874314939974334
2025-01-24,0.1284243167731567
2025-01-27,0.615392124362611
2025-01-28,0.6201241148957297
2025-01-29,0.8123580312277577
2025-01-30,0.5476248887634536
2025-01-31,0.6156745815728456
2025-02-03,-0.0004128550139620435
2025-02-04,0.01572565482295829
2025-02-05,0.01487556906590981
2025-02-06,0.03414098992058823
2025-02-07,0.161122570506119
2025-02-10,0.1510004064070355
2025-02-11,0.5961099659094102
2025-02-12,0.15379949550141486
2025-02-13,0.29984788745554225
2025-02-14,0.2873388076042943
2025-02-17,0.45388656715945164
2025-02-18,0.5408794666209843
2025-02-19,0.2657498464930994
2025-02-20,0.26297035364001264
2025-02-21,0.22150154280976508
2025-02-24,0.18095932216692645
2025-02-25,0.12413332928716425
2025-02-26,0.1825084545038954
2025-02-27,0.19237679577067324
2025-02-28,0.2788489785468795
2025-03-03,0.3064553338738144
2025-03-04,0.08276618304297556
2025-03-05,0.5393117447196981
2025-03-06,0.3780123667913856
2025-03-07,0.28594150628878856
2025-03-10,0.3050777130697962
2025-03-11,0.1840399474316935
2025-03-12,0.18303076036132587
2025-03-13,0.21499750877045498
2025-03-14,0.1749738875338197
2025-03-17,0.18568842296049293
2025-03-18,0.1152958750650599
2025-03-19,0.05794386044795785
2025-03-20,0.1667203994533698
2025-03-21,0.11603506628751481
2025-03-24,0.021348256864912596
2025-03-25,0.30033435791511526
2025-03-26,0.06197690257534849
2025-03-27,0.09353494110552407
2025-03-28,0.13392694403102423
2025-03-31,0.27683028659002573
2025-04-01,0.19382030826412744
2025-04-02,0.04540337732736299
2025-04-03,0.08039069215110606
2025-04-04,0.23141434842435737
2025-04-07,0.45892359432272833
2025-04-08,0.09557947144427126
2025-04-09,0.5567194916274715
2025-04-10,0.17193519128569013
2025-04-11,0.7281842018400158
2025-04-14,0.8273240845063197
2025-04-15,0.6436883805336523
2025-04-16,0.06855496850789744
2025-04-17,0.18447258818800544
2025-04-18,0.509934359709249
2025-04-21,0.16335298104022367
2025-04-22,0.7298999588315543
2025-04-23,0.010216549522933605
2025-04-24,0.47896525282682983
2025-04-25,0.11053435492478092
2025-04-28,0.33968608254562127
2025-04-29,0.3815292945942308
2025-04-30,0.23497766284116273
2025-05-01,0.3873748312609536
