Date,Actual_Variance,GARCH_Forecast_Variance,SVR_Forecast_Variance
2024-11-25,0.4472785740508163,0.5860489478415039,
2024-11-26,0.1022949279463831,0.5570587639687073,
2024-11-27,0.14753270368657,0.5302339698323962,
2024-11-29,0.136525081737168,0.5259375003865046,0.2163205606359963
2024-12-02,0.0403391069956371,0.5011425243802706,0.1493485511866226
2024-12-03,0.0427350110437151,0.4772873629845127,0.1575620242102248
2024-12-04,0.0816216258004537,0.4547895135499409,0.1454057455597242
2024-12-05,0.0430860407126638,0.434444533294822,0.107641640830256
2024-12-06,0.0456303287212972,0.4211464673744969,0.1484385957284938
2024-12-09,0.1204960176082633,0.4016001986528358,0.1603887704843064
2024-12-10,0.1180307098619075,0.4367957095939248,0.1951367428982962
2024-12-11,0.0819611824057676,0.4309970554444278,0.314199120770208
2024-12-12,0.0540622424361982,0.4132920729664761,0.1451531996017766
2024-12-13,0.219070548749459,0.4364144909954873,0.21201177270948
2024-12-16,0.0809170808725083,0.416681219623226,0.2639390698948946
2024-12-17,0.0687797841858089,0.3980874367333906,0.1664011737552752
2024-12-18,2.4272014383458567,0.4031368893651699,0.2570375224952649
2024-12-19,0.4607878102362341,1.4741981215563682,0.8805527162979597
2024-12-20,2.333893867761128,1.35975765543918,0.8489680359835441
2024-12-23,0.6870416373000539,1.2765743763224455,0.6733668382809835
2024-12-24,0.14810695512184,1.191838709980879,0.911603132843748
2024-12-26,0.2301841874348203,1.1234878769033734,0.1522304443499046
2024-12-27,0.6177792561156793,1.0521190594523244,0.243500509662928
2024-12-30,0.7149325126886981,1.1424852948517743,0.346836333813881
2024-12-31,0.3713747059237233,1.2168632689145813,0.5333564788344338
2025-01-02,1.4759236672140903,1.165015130483651,0.4711493027249046
2025-01-03,0.2339610957480603,1.101046543795657,0.4663903900663895
2025-01-06,0.5129999018920121,1.0425716571190529,0.2423444386059142
2025-01-07,0.9376355665361776,0.9826426219263604,0.1502601250876264
2025-01-08,0.3986186749443549,1.0751423014592698,0.2601903967717784
2025-01-10,0.5453613759227144,1.0123445075343105,0.3894620185933674
2025-01-13,0.2962081530256681,1.2347098469362263,0.3934791765408764
2025-01-14,0.6184268778802173,1.158968259006751,0.6410867250087476
2025-01-15,0.2162927754365119,1.0906376134668585,0.3553668839026081
2025-01-16,0.087811368461122,1.0380695518097691,0.4131430955894186
2025-01-17,0.1852721825303694,0.9865619002026684,0.4020911736732212
2025-01-21,0.1430071442749789,0.9336025842274246,0.3576027118991242
2025-01-22,0.0795699961156617,0.8838315489238504,0.3556130152182848
2025-01-23,0.0744399096068525,0.836893242747214,0.1217368780032621
2025-01-24,0.1662788729224133,0.7929113021618613,0.1362198472179656
2025-01-27,0.2088726005995348,0.763360280760018,0.1683963008150142
2025-01-28,0.7015469911221829,0.9697017594411536,0.3504824522345524
2025-01-29,0.3053920194373282,0.9178700414901386,0.435045142134609
2025-01-30,0.4334697404437739,0.8966876095502484,0.3108405444133229
2025-01-31,0.7646101330265226,0.8491403860144882,0.4075530430740822
2025-02-03,1.2844786253648344,0.8368359725491826,0.3870564047406164
2025-02-04,0.1994501638469347,0.8623339457040301,0.3776550963961146
2025-02-05,0.2492573899530369,0.817605533130366,0.2771478720469753
